START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/19/18,01:05 PM,01:05 PM,Blue Jays at Braves,Champion Stadium - Lake Buena Vista,"",03/19/18,03/19/18,04:05 PM,04:05 PM,FALSE,TRUE,03/19/18,12:05 PM,12:05 PM,FREE,BUSY
03/20/18,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN",03/20/18,03/20/18,04:05 PM,04:05 PM,FALSE,TRUE,03/20/18,12:05 PM,12:05 PM,FREE,BUSY
03/21/18,01:07 PM,01:07 PM,Phillies at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",03/21/18,03/21/18,04:07 PM,04:07 PM,FALSE,TRUE,03/21/18,12:07 PM,12:07 PM,FREE,BUSY
03/22/18,01:07 PM,01:07 PM,Rays at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",03/22/18,03/22/18,04:07 PM,04:07 PM,FALSE,TRUE,03/22/18,12:07 PM,12:07 PM,FREE,BUSY
03/22/18,06:05 PM,06:05 PM,Blue Jays at Pirates,LECOM Park - Bradenton,"",03/22/18,03/22/18,09:05 PM,09:05 PM,FALSE,TRUE,03/22/18,05:05 PM,05:05 PM,FREE,BUSY
03/23/18,01:05 PM,01:05 PM,Blue Jays at Rays,Charlotte Sports Park - Port Charlotte,"",03/23/18,03/23/18,04:05 PM,04:05 PM,FALSE,TRUE,03/23/18,12:05 PM,12:05 PM,FREE,BUSY
03/24/18,01:05 PM,01:05 PM,Blue Jays at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: SN590",03/24/18,03/24/18,04:05 PM,04:05 PM,FALSE,TRUE,03/24/18,12:05 PM,12:05 PM,FREE,BUSY
03/25/18,01:07 PM,01:07 PM,Pirates at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"Local Radio: SN590",03/25/18,03/25/18,04:07 PM,04:07 PM,FALSE,TRUE,03/25/18,12:07 PM,12:07 PM,FREE,BUSY
03/26/18,07:07 PM,07:07 PM,Cardinals at Blue Jays,Olympic Stadium - Montreal,"Local TV: SN ----- Local Radio: SN590",03/26/18,03/26/18,10:07 PM,10:07 PM,FALSE,TRUE,03/26/18,06:07 PM,06:07 PM,FREE,BUSY
03/27/18,07:07 PM,07:07 PM,Cardinals at Blue Jays,Olympic Stadium - Montreal,"Local TV: SN- MLBN ----- Local Radio: SN590",03/27/18,03/27/18,10:07 PM,10:07 PM,FALSE,TRUE,03/27/18,06:07 PM,06:07 PM,FREE,BUSY
03/29/18,03:37 PM,03:37 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",03/29/18,03/29/18,06:37 PM,06:37 PM,FALSE,TRUE,03/29/18,02:37 PM,02:37 PM,FREE,BUSY
03/30/18,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",03/30/18,03/30/18,10:07 PM,10:07 PM,FALSE,TRUE,03/30/18,06:07 PM,06:07 PM,FREE,BUSY
03/31/18,04:07 PM,04:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",03/31/18,03/31/18,07:07 PM,07:07 PM,FALSE,TRUE,03/31/18,03:07 PM,03:07 PM,FREE,BUSY
04/01/18,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",04/01/18,04/01/18,04:07 PM,04:07 PM,FALSE,TRUE,04/01/18,12:07 PM,12:07 PM,FREE,BUSY
04/02/18,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"",04/02/18,04/02/18,10:07 PM,10:07 PM,FALSE,TRUE,04/02/18,06:07 PM,06:07 PM,FREE,BUSY
04/03/18,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"",04/03/18,04/03/18,10:07 PM,10:07 PM,FALSE,TRUE,04/03/18,06:07 PM,06:07 PM,FREE,BUSY
04/04/18,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"",04/04/18,04/04/18,10:07 PM,10:07 PM,FALSE,TRUE,04/04/18,06:07 PM,06:07 PM,FREE,BUSY
04/06/18,08:05 PM,08:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"",04/06/18,04/06/18,11:05 PM,11:05 PM,FALSE,TRUE,04/06/18,07:05 PM,07:05 PM,FREE,BUSY
