					2018/12/05	2018/12/05	2018/12/13	2018/12/13	2018/12/13	2018/12/13	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/31	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/27	2019/03/27	2019/03/27	2019/03/28	2019/03/28	2019/03/28	2019/04/16	2019/04/16	2019/04/17	2019/04/17	2019/05/14	2019/05/15	2019/06/18	2019/06/18	2019/06/18	2019/07/16	2019/07/16	2019/07/16	2019/07/16	2019/07/17	2019/07/17	2019/07/18
08	Mark Grimes	Ward 3 Etobicoke-Lakeshore	78.64%	83.93%	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Absent	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Absent	Yes	Yes	No	Yes	Yes
09	Brad Bradford	Ward 19 Beaches-East York		NEW	No	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes
10	Cynthia Lai	Ward 23 Scarborough North		NEW	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes
11	James Pasternak	Ward 6 York Centre	58.82%	82.41%	No	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	Yes	No	Yes	Yes	Yes	Absent	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent
12	Denzil Minnan-Wong	Ward 16 Don Valley East	74.76%	85.00%	No	No	Yes	Yes	Absent	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Absent	Absent	Absent	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
13	Anthony Perruzza	Ward 7 York-West	20.91%	47.46%	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Absent	Absent	Absent	Absent	Absent	Yes	Absent	Absent	Absent	Yes	Yes	Yes	Yes	Absent	Absent	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No
14	Jaye Robinson	Ward 15 Don Valley West	53.33%	84.75%	Yes	No	Absent	Absent	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes
15	Mike Colle	Ward 8 Eglinton-Lawrence		NEW	No	Yes	No	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
16	Stephen Holyday	Ward 2 Etobicoke Centre	NEW	71.97%	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Absent	No	No	No	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes
17	Shelley Carroll	Ward 17 Don Valley North	5.36%	44.09%	No	Yes	Absent	Absent	Absent	Absent	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Absent	Absent	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No
18	Michael Ford	Ward 1 Etobicoke North	100.00%	59.55%	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Absent	No	No	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Absent
19	Jim Karygiannis	Ward 22 Scarborough-Agincourt	NEW	70.18%	No	Yes	No	No	No	Yes	No	No	Yes	Yes	Absent	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Absent	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No
20	Paula Fletcher	Ward 14 Toronto-Danforth	3.74%	45.16%	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Absent	Absent	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	Yes	No	Yes	Yes	No	No
21	Joe Cressy	Ward 10 Spadina-Fort York	NEW	42.86%	No	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes
22	Mike Layton	Ward 11 University Rosedale	4.35%	39.37%	No	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes
23	Josh Matlow	Ward 12 Toronto-St. Paul's	23.68%	57.60%	No	Yes	No	No	Yes	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes
24	Gord Perks	Ward 4 Parkdale-High Park	1.72%	41.67%	No	Yes	No	No	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No
25	Kristyn Wong-Tam	Ward 13 Toronto Centre	5.26%	39.84%	No	Yes	No	No	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No
26	John Filion	Ward 18 Willowdale	10.91%	65.87%	No	Yes	No	No	Yes	Yes	No	No	Yes	No	Absent	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	No	Absent
